plant_id,Row,Range,Row_Range,id,area_calculation
20RITI20828,9,28,9_28,495,1.470700814
20RITI20928,10,28,10_28,496,1.468676236
20RITI21028,11,28,11_28,497,1.538924013
20RITI21128,12,28,12_28,498,1.474753993
20RITI21228,13,28,13_28,499,1.512355148
20RITI21328,14,28,14_28,500,1.47814213
20RITI21428,15,28,15_28,501,1.554016987
20RITI21528,16,28,16_28,502,1.678068682
20RITI21628,17,28,17_28,503,1.828254527
20RITI21728,18,28,18_28,504,1.404052057
20RITI20029,1,29,1_29,505,1.346415824
20RITI20129,2,29,2_29,506,1.257708352
20RITI20229,3,29,3_29,507,1.038861463
20RITI20329,4,29,4_29,508,0.810780501
20RITI20429,5,29,5_29,509,1.399778817
20RITI20529,6,29,6_29,510,0.941366258
20RITI20629,7,29,7_29,511,1.294406616
20RITI20729,8,29,8_29,512,1.331112884
20RITI20829,9,29,9_29,513,1.476564584
20RITI20929,10,29,10_29,514,1.291936513
20RITI21029,11,29,11_29,515,1.439187494
20RITI21129,12,29,12_29,516,1.354311571
20RITI21229,13,29,13_29,517,1.545906469
20RITI21329,14,29,14_29,518,1.204800228
20RITI21429,15,29,15_29,519,1.565492677
20RITI21529,16,29,16_29,520,1.610970807
20RITI21629,17,29,17_29,521,1.389194731
20RITI21729,18,29,18_29,522,1.449098489
20RITI20030,1,30,1_30,523,0.947006295
20RITI20130,2,30,2_30,524,1.008915891
20RITI20230,3,30,3_30,525,1.428819839
20RITI20330,4,30,4_30,526,1.155043496
20RITI20430,5,30,5_30,527,1.525417011
20RITI20530,6,30,6_30,528,0.871345912
20RITI20630,7,30,7_30,529,1.501328305
20RITI20730,8,30,8_30,530,1.357902319
20RITI20830,9,30,9_30,531,1.714776399
20RITI20930,10,30,10_30,532,1.563695943
20RITI21030,11,30,11_30,533,1.540726686
20RITI21130,12,30,12_30,534,1.406088614
20RITI21230,13,30,13_30,535,1.514157968
20RITI21330,14,30,14_30,536,1.39617747
20RITI21430,15,30,15_30,537,1.417562021
20RITI21530,16,30,16_30,538,1.504922559
20RITI21630,17,30,17_30,539,1.461249273
20RITI21730,18,30,18_30,540,1.376589465
20RITI20031,1,31,1_31,541,1.083428933
20RITI20131,2,31,2_31,542,1.062263789
20RITI20231,3,31,3_31,543,1.321431809
20RITI20331,4,31,4_31,544,1.112257028
20RITI20431,5,31,5_31,545,1.442562627
20RITI20531,6,31,6_31,546,1.418242182
20RITI20631,7,31,7_31,547,1.467549063
20RITI20731,8,31,8_31,548,1.327959188
20RITI20831,9,31,9_31,549,1.447740615
20RITI20931,10,31,10_31,550,1.523161463
20RITI21031,11,31,11_31,551,1.587786232
20RITI21131,12,31,12_31,552,1.524287851
20RITI21231,13,31,13_31,553,1.372085738
20RITI21331,14,31,14_31,554,1.253205419
20RITI21431,15,31,15_31,555,1.514613968
20RITI21531,16,31,16_31,556,1.448191005
20RITI21631,17,31,17_31,557,1.173278138
20RITI21731,18,31,18_31,558,1.327957193
20RITI20032,1,32,1_32,559,1.39279983
20RITI20132,2,32,2_32,560,1.243981882
20RITI20232,3,32,3_32,561,1.408112463
20RITI20332,4,32,4_32,562,1.372535989
20RITI20432,5,32,5_32,563,1.44819687
20RITI20532,6,32,6_32,564,1.205926313
20RITI20632,7,32,7_32,565,1.538929214
20RITI20732,8,32,8_32,566,1.47566278
20RITI20832,9,32,9_32,567,1.691125678
20RITI20932,10,32,10_32,568,1.645642458
20RITI21032,11,32,11_32,569,1.770383678
20RITI21132,12,32,12_32,570,1.551537851
20RITI21232,13,32,13_32,571,1.491420331
20RITI21332,14,32,14_32,572,1.246892119
20RITI21432,15,32,15_32,573,1.466641833
20RITI21532,16,32,16_32,574,1.61006767
20RITI21632,17,32,17_32,575,1.535102495
20RITI21732,18,32,18_32,576,1.612998505
20RITI20033,1,33,1_33,577,1.110904542
20RITI20133,2,33,2_33,578,1.032104034
20RITI20233,3,33,3_33,579,1.613898986
20RITI20333,4,33,4_33,580,1.397532828
20RITI20433,5,33,5_33,581,1.564595323
20RITI20533,6,33,6_33,582,1.490298746
20RITI20633,7,33,7_33,583,1.5459116
20RITI20733,8,33,8_33,584,1.472957944
20RITI20833,9,33,9_33,585,1.570440603
20RITI20933,10,33,10_33,586,1.985863841
20RITI21033,11,33,11_33,587,1.716118879
20RITI21133,12,33,12_33,588,1.437377372
20RITI21233,13,33,13_33,589,1.571571685
20RITI21333,14,33,14_33,590,1.4405342
20RITI21433,15,33,15_33,591,1.598813
20RITI21533,16,33,16_33,592,1.754629646
20RITI21633,17,33,17_33,593,1.586208438
20RITI21733,18,33,18_33,594,1.546810609
20RITI20034,1,34,1_34,595,1.413742246
