plant_id,source_id,germplasm_id,experiment_id,planting_date,row,range,rep
20RITI20202,MN_1502_Syn2_13,MN_1502_Syn2_13,20_RIC_KERNZA_C0HSF,2020-05-14,3,2,1
20RITI20203,UM2014_0044_13,UM2014_0044_13,20_RIC_KERNZA_C0HSF,2020-05-14,3,3,1
20RITI20204,TLI_6215_76,TLI_6215_76,20_RIC_KERNZA_C0HSF,2020-05-14,3,4,1
20RITI20205,TLI_1523_76,TLI_1523_76,20_RIC_KERNZA_C0HSF,2020-05-14,3,5,1
20RITI20206,Alkar,Alkar,20_RIC_KERNZA_C0HSF,2020-05-14,3,6,1
20RITI20207,TLI_5711_15,TLI_5711_15,20_RIC_KERNZA_C0HSF,2020-05-14,3,7,1
20RITI20208,UM2014_0175_77,UM2014_0175_77,20_RIC_KERNZA_C0HSF,2020-05-14,3,8,1
20RITI20209,UM2014_0066_74,UM2014_0066_74,20_RIC_KERNZA_C0HSF,2020-05-14,3,9,1
20RITI20210,TLI_5711_53,TLI_5711_53,20_RIC_KERNZA_C0HSF,2020-05-14,3,10,1
20RITI20211,UM2014_0132_70,UM2014_0132_70,20_RIC_KERNZA_C0HSF,2020-05-14,3,11,1
20RITI20212,MN_1503_Syn2_21,MN_1503_Syn2_21,20_RIC_KERNZA_C0HSF,2020-05-14,3,12,1
20RITI20213,MN_1502_Syn2_52,MN_1502_Syn2_52,20_RIC_KERNZA_C0HSF,2020-05-14,3,13,1
20RITI20214,TLI_5250_22,TLI_5250_22,20_RIC_KERNZA_C0HSF,2020-05-14,3,14,1
20RITI20215,MN_1501_Syn2_74,MN_1501_Syn2_74,20_RIC_KERNZA_C0HSF,2020-05-14,3,15,1
20RITI20216,TLI_12869_02,TLI_12869_02,20_RIC_KERNZA_C0HSF,2020-05-14,3,16,1
20RITI20217,TLI_6215_52,TLI_6215_52,20_RIC_KERNZA_C0HSF,2020-05-14,3,17,1
20RITI20218,TLI_12869_45,TLI_12869_45,20_RIC_KERNZA_C0HSF,2020-05-14,3,18,1
20RITI20219,UM2014_0119_09,UM2014_0119_09,20_RIC_KERNZA_C0HSF,2020-05-14,3,19,1
20RITI20220,TLI_3078_58,TLI_3078_58,20_RIC_KERNZA_C0HSF,2020-05-14,3,20,1
20RITI20221,TLI_6215_51,TLI_6215_51,20_RIC_KERNZA_C0HSF,2020-05-14,3,21,1
20RITI20222,TLI_3078_05,TLI_3078_05,20_RIC_KERNZA_C0HSF,2020-05-14,3,22,1
20RITI20223,TLI_5344_36,TLI_5344_36,20_RIC_KERNZA_C0HSF,2020-05-14,3,23,1
20RITI20224,MN_1504_Syn2_73,MN_1504_Syn2_73,20_RIC_KERNZA_C0HSF,2020-05-14,3,24,1
20RITI20225,TLI_4201_A_11,TLI_4201_A_11,20_RIC_KERNZA_C0HSF,2020-05-14,3,25,1
20RITI20226,TLI_4201_A_45,TLI_4201_A_45,20_RIC_KERNZA_C0HSF,2020-05-14,3,26,1
20RITI20227,TLI_5711_67,TLI_5711_67,20_RIC_KERNZA_C0HSF,2020-05-14,3,27,1
20RITI20228,TLI_5344_72,TLI_5344_72,20_RIC_KERNZA_C0HSF,2020-05-14,3,28,1
20RITI20229,TLI_5344_20,TLI_5344_20,20_RIC_KERNZA_C0HSF,2020-05-14,3,29,1
20RITI20230,UM2014_0026_02,UM2014_0026_02,20_RIC_KERNZA_C0HSF,2020-05-14,3,30,1
20RITI20231,TLI_5711_06,TLI_5711_06,20_RIC_KERNZA_C0HSF,2020-05-14,3,31,1
20RITI20232,UM2014_0001_14,UM2014_0001_14,20_RIC_KERNZA_C0HSF,2020-05-14,3,32,1
20RITI20233,TLI_6479_07,TLI_6479_07,20_RIC_KERNZA_C0HSF,2020-05-14,3,33,1
20RITI20234,UM2014_0025_06,UM2014_0025_06,20_RIC_KERNZA_C0HSF,2020-05-14,3,34,1
20RITI20235,MN_1503_Syn2_05,MN_1503_Syn2_05,20_RIC_KERNZA_C0HSF,2020-05-14,3,35,1
